orientation,household,floor,look_times,decoration,residence_id,house_type,property_type,residence_url,house_owner,area,elevator,heating_style,transaction_date,structure,listing_price,total_floor,deal_cycle,crawl_time,last_deal,build_type,inner_area,total_price,build_struct,url,house_age,listing_date,house_type_struct
西南,一梯六户,中楼层,2,精装,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027379906/,非共有,121.5㎡,暂无数据,集中供暖,2017.09.10,2室2厅1厨2卫,900,13,14,2017-09-25 11:50:25,,塔楼,暂无数据,880,钢混结构,https://bj.lianjia.com/chengjiao/101102005649.html,暂无数据,2017-08-28,暂无数据
南 北,一梯三户,中楼层,12,精装,-3,普通住宅,已购公房,https://bj.lianjia.com/xiaoqu/1111027375686/,非共有,60.14㎡,无,集中供暖,2017.09.03,2室1厅1厨1卫,530,6,15,2017-09-25 11:50:25,,板楼,42.64㎡,515,混合结构,https://bj.lianjia.com/chengjiao/101101973708.html,满五年,2017-08-20,暂无数据
南 北,一梯两户,中楼层,5,简装,-3,普通住宅,私产,https://bj.lianjia.com/xiaoqu/1111027375691/,非共有,128.36㎡,无,集中供暖,2017.09.04,3室1厅1厨1卫,1250,6,11,2017-09-25 11:50:26,,板楼,暂无数据,1210,混合结构,https://bj.lianjia.com/chengjiao/101101991976.html,满五年,2017-08-25,平层
东 西,两梯十六户,中楼层,76,精装,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027375657/,非共有,68.23㎡,有,集中供暖,2017.09.04,2室1厅1厨1卫,580,16,28,2017-09-25 11:50:26,,板楼,暂无数据,556,钢混结构,https://bj.lianjia.com/chengjiao/101101920710.html,满五年,2017-08-08,暂无数据
东南,两梯八户,中楼层,11,精装,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027375610/,非共有,57.61㎡,有,集中供暖,2017.09.05,2室1厅1厨1卫,498,21,5,2017-09-25 11:50:26,"单价32981元/平,链家成交,2012-06-09",塔楼,暂无数据,481,钢混结构,https://bj.lianjia.com/chengjiao/101102020050.html,满五年,2017-08-31,暂无数据
东北,两梯十六户,高楼层,5,简装,-3,普通住宅,已购公房,https://bj.lianjia.com/xiaoqu/1111027375657/,非共有,81.73㎡,有,集中供暖,2017.09.05,3室1厅1厨1卫,780,16,11,2017-09-25 11:50:26,,板楼,暂无数据,745,钢混结构,https://bj.lianjia.com/chengjiao/101101996334.html,暂无数据,2017-08-26,暂无数据
南,一梯三户,高楼层,20,简装,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027375683/,非共有,42㎡,无,集中供暖,2017.09.05,1室1厅1厨1卫,360,6,58,2017-09-25 11:50:27,,板楼,42㎡,335,混合结构,https://bj.lianjia.com/chengjiao/101101796927.html,满五年,2017-07-09,暂无数据
西,两梯十一户,高楼层,59,精装,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027375610/,非共有,66.18㎡,有,集中供暖,2017.09.05,2室1厅1厨1卫,528,11,109,2017-09-25 11:50:27,"单价43669元/平,链家成交,2013-08-16",板塔结合,46.87㎡,495,钢混结构,https://bj.lianjia.com/chengjiao/101101603329.html,满两年,2017-05-20,平层
南,一梯三户,高楼层,25,其他,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027375683/,共有,42.98㎡,无,集中供暖,2017.09.07,1室1厅1厨1卫,339,6,53,2017-09-25 11:50:27,"单价40717元/平,链家成交,2014-12-13",板楼,暂无数据,324,混合结构,https://bj.lianjia.com/chengjiao/101101824360.html,满两年,2017-07-16,平层
东南,两梯八户,低楼层,67,简装,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027375610/,非共有,57.63㎡,有,集中供暖,2017.09.07,2室1厅1厨1卫,488,21,89,2017-09-25 11:50:27,,塔楼,41.81㎡,461,钢混结构,https://bj.lianjia.com/chengjiao/101101683705.html,满五年,2017-06-10,暂无数据
南 北,一梯两户,中楼层,15,简装,-3,普通住宅,已购公房,https://bj.lianjia.com/xiaoqu/1111027375686/,非共有,42.13㎡,无,集中供暖,2017.09.08,1室1厅1厨1卫,360,6,39,2017-09-25 11:50:28,,板楼,暂无数据,340,钢混结构,https://bj.lianjia.com/chengjiao/101101888350.html,满五年,2017-07-31,暂无数据
南,两梯七户,中楼层,86,精装,-3,普通住宅,商品房,https://bj.lianjia.com/xiaoqu/1111027375603/,非共有,68.44㎡,有,集中供暖,2017.09.08,2室1厅1厨1卫,525,16,102,2017-09-25 11:50:28,"单价30589元/平,链家成交,2012-06-04",塔楼,55㎡,505,钢混结构,https://bj.lianjia.com/chengjiao/101101639746.html,满五年,2017-05-30,暂无数据
南,两梯五户,中楼层,57,简装,-3,普通住宅,私产,https://bj.lianjia.com/xiaoqu/1111027374537/,非共有,117.92㎡,有,集中供暖,2017.09.09,2室2厅1厨2卫,1118,17,43,2017-09-25 11:50:28,,板塔结合,99.9㎡,1080,钢混结构,https://bj.lianjia.com/chengjiao/101101873238.html,满五年,2017-07-28,暂无数据
