orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南 北,一梯两户,其他,0,13846,普通住宅,已购公房,,暂无数据,暂无数据,65㎡,暂无数据,暂无数据,,2室1厅1厨1卫,103101742359,7,2017-09-21 13:51:52,2017-09-20,暂无数据,未上传房本照片,暂无数据,90,未知结构, ,https://hf.lianjia.com/ershoufang/103101742359.html,暂无数据,低楼层,暂无数据
南,一梯两户,其他,0,21780,普通住宅,商品房,,暂无数据,暂无数据,142.33㎡,暂无数据,板楼,,4室2厅1厨2卫,103101743374,11,2017-09-21 13:51:52,2017-09-20,暂无数据,未上传房本照片,暂无数据,310,未知结构, ,https://hf.lianjia.com/ershoufang/103101743374.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,其他,0,10804,普通住宅,商品房,,非共有,暂无数据,89.78㎡,暂无数据,暂无数据,,4室1厅1厨1卫,103101743995,5,2017-09-21 13:51:52,2017-09-20,2009-08-12,已上传房本照片,暂无数据,97,未知结构, ,https://hf.lianjia.com/ershoufang/103101743995.html,满五年,高楼层,暂无数据
南 北,一梯两户,其他,0,15631,普通住宅,商品房,,暂无数据,暂无数据,76.77㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101742410,6,2017-09-21 13:51:52,2017-09-20,暂无数据,未上传房本照片,暂无数据,120,未知结构, ,https://hf.lianjia.com/ershoufang/103101742410.html,暂无数据,低楼层,暂无数据
北,一梯十一户,其他,0,15939,普通住宅,商品房,,暂无数据,暂无数据,45.8㎡,暂无数据,板塔结合,,1室1厅1厨1卫,103101741625,29,2017-09-21 13:51:52,2017-09-20,暂无数据,未上传房本照片,暂无数据,73,钢混结构, ,https://hf.lianjia.com/ershoufang/103101741625.html,暂无数据,中楼层,暂无数据
南,一梯九户,其他,0,11951,普通住宅,商品房,,暂无数据,暂无数据,82㎡,暂无数据,板楼,,2室1厅1厨1卫,103101744900,22,2017-09-21 13:51:53,2017-09-21,暂无数据,未上传房本照片,暂无数据,98,未知结构, ,https://hf.lianjia.com/ershoufang/103101744900.html,暂无数据,低楼层,暂无数据
南,一梯十八户,其他,0,23059,普通住宅,商品房,,暂无数据,暂无数据,52.04㎡,暂无数据,板楼,,1室2厅1厨2卫,103101744993,24,2017-09-21 13:51:53,2017-09-21,暂无数据,未上传房本照片,暂无数据,120,钢混结构, ,https://hf.lianjia.com/ershoufang/103101744993.html,暂无数据,高楼层,暂无数据
南,一梯两户,其他,0,20135,普通住宅,商品房,,非共有,暂无数据,142.04㎡,暂无数据,板楼,,4室2厅1厨2卫,103101744429,11,2017-09-21 13:51:54,2017-09-20,2009-12-18,已上传房本照片,暂无数据,286,未知结构, ,https://hf.lianjia.com/ershoufang/103101744429.html,满五年,中楼层,暂无数据
南,一梯五户,其他,0,19101,普通住宅,商品房,,暂无数据,暂无数据,89㎡,暂无数据,板塔结合,,2室2厅1厨1卫,103101744691,25,2017-09-21 13:51:54,2017-09-20,暂无数据,未上传房本照片,暂无数据,170,钢混结构, ,https://hf.lianjia.com/ershoufang/103101744691.html,暂无数据,中楼层,暂无数据
南,一梯两户,其他,0,20176,普通住宅,商品房,,暂无数据,暂无数据,53.53㎡,暂无数据,暂无数据,,2室1厅1厨1卫,103101745089,6,2017-09-21 13:51:54,2017-09-21,暂无数据,未上传房本照片,暂无数据,108,未知结构, ,https://hf.lianjia.com/ershoufang/103101745089.html,暂无数据,中楼层,暂无数据
南,一梯二十八户,其他,0,14499,普通住宅,商品房,,暂无数据,暂无数据,48.28㎡,暂无数据,暂无数据,,1室1厅1厨1卫,103101742294,26,2017-09-21 13:52:01,2017-09-20,暂无数据,未上传房本照片,暂无数据,70,未知结构, ,https://hf.lianjia.com/ershoufang/103101742294.html,暂无数据,高楼层,暂无数据
南,一梯三十二户,其他,0,22642,商住两用,商品房,,暂无数据,暂无数据,53㎡,暂无数据,暂无数据,,2室2厅1厨2卫,103101742330,20,2017-09-21 13:52:01,2017-09-20,暂无数据,未上传房本照片,暂无数据,120,未知结构, ,https://hf.lianjia.com/ershoufang/103101742330.html,暂无数据,高楼层,暂无数据
