orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南 北,一梯两户,其他,0,40241,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/3912286295289147/,非共有,暂无数据,79.52㎡,无,板楼,,3室1厅1厨1卫,105101014413,6,2017-09-21 14:07:27,2017-09-21,2010-08-11,已上传房本照片,70㎡,320,未知结构, ,https://xm.lianjia.com/ershoufang/105101014413.html,满五年,高楼层,暂无数据
南,一梯三户,其他,0,19913,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/458123117218934/,暂无数据,暂无数据,57.75㎡,无,板楼,自供暖,2室1厅1厨1卫,103101741664,6,2017-09-21 14:07:36,2017-09-20,暂无数据,未上传房本照片,暂无数据,115,钢混结构, ,https://jn.lianjia.com/ershoufang/103101741664.html,暂无数据,高楼层,暂无数据
南 北,一梯四户,其他,0,17507,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/457508037219162/,共有,暂无数据,71.4㎡,暂无数据,板楼,暂无数据,3室1厅1厨1卫,103101742266,5,2017-09-21 14:07:36,2017-09-20,暂无数据,未上传房本照片,暂无数据,125,未知结构, ,https://jn.lianjia.com/ershoufang/103101742266.html,暂无数据,中楼层,暂无数据
东 西,一梯三户,精装,0,43932,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/3911058015367/,非共有,无抵押,72.84㎡,暂无数据,板楼,,2室1厅1厨1卫,105101012487,7,2017-09-21 14:07:37,2017-09-20,2003-01-21,已上传房本照片,暂无数据,320,未知结构, ,https://xm.lianjia.com/ershoufang/105101012487.html,满五年,高楼层,暂无数据
南,一梯八户,其他,0,20858,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/458053746839945/,非共有,暂无数据,49.86㎡,无,板楼,自供暖,1室1厅1厨1卫,103101743006,7,2017-09-21 14:07:37,2017-09-20,2000-07-19,已上传房本照片,45.33㎡,104,钢混结构, ,https://jn.lianjia.com/ershoufang/103101743006.html,满五年,高楼层,暂无数据
南 北,一梯三户,其他,0,28800,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4510456447595293/,共有,暂无数据,125㎡,暂无数据,板楼,暂无数据,3室2厅1厨1卫,103101742578,7,2017-09-21 14:07:37,2017-09-20,暂无数据,未上传房本照片,暂无数据,360,未知结构, ,https://jn.lianjia.com/ershoufang/103101742578.html,暂无数据,中楼层,暂无数据
南 北,一梯四户,其他,0,25000,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4516051886633429/,暂无数据,暂无数据,70㎡,暂无数据,板楼,暂无数据,2室1厅1厨1卫,103101743854,8,2017-09-21 14:07:37,2017-09-20,暂无数据,未上传房本照片,暂无数据,175,未知结构, ,https://jn.lianjia.com/ershoufang/103101743854.html,暂无数据,中楼层,暂无数据
南 北,一梯四户,其他,0,25743,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/458098807296924/,暂无数据,暂无数据,101㎡,暂无数据,板楼,集中供暖,2室1厅1厨1卫,103101741701,15,2017-09-21 14:07:39,2017-09-20,暂无数据,未上传房本照片,暂无数据,260,钢混结构, ,https://jn.lianjia.com/ershoufang/103101741701.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,其他,0,23087,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/458052218540948/,非共有,无抵押,90.96㎡,暂无数据,板楼,集中供暖,2室2厅1厨1卫,103101742248,5,2017-09-21 14:07:39,2017-09-20,2001-09-14,已上传房本照片,暂无数据,210,钢混结构, 二环内,https://jn.lianjia.com/ershoufang/103101742248.html,满五年,高楼层,暂无数据
南 北,一梯三户,其他,0,14373,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511059706350/,共有,暂无数据,52.18㎡,暂无数据,板楼,暂无数据,2室1厅1厨1卫,103101743001,5,2017-09-21 14:07:45,2017-09-20,2015-09-08,已上传房本照片,52.18㎡,75,未知结构, ,https://jn.lianjia.com/ershoufang/103101743001.html,满两年,高楼层,暂无数据
西 北,一梯两户,其他,0,47386,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/3911057613638/,非共有,暂无数据,145.19㎡,暂无数据,板楼,,3室2厅1厨2卫,105101012803,7,2017-09-21 14:08:18,2017-09-20,2010-05-12,已上传房本照片,145.19㎡,688,钢混结构, ,https://xm.lianjia.com/ershoufang/105101012803.html,满五年,中楼层,暂无数据
南 北,一梯两户,其他,0,40241,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/3912286295289147/,非共有,暂无数据,79.52㎡,无,板楼,,3室1厅1厨1卫,105101014413,6,2017-09-21 14:08:51,2017-09-21,2010-08-11,已上传房本照片,70㎡,320,未知结构, ,https://xm.lianjia.com/ershoufang/105101014413.html,满五年,高楼层,暂无数据
南,一梯两户,其他,0,30000,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511058174490/,暂无数据,暂无数据,100㎡,无,板楼,集中供暖,3室2厅1厨1卫,103101742362,7,2017-09-21 14:09:00,2017-09-20,暂无数据,未上传房本照片,暂无数据,300,砖混结构, ,https://jn.lianjia.com/ershoufang/103101742362.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,其他,0,19991,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/457509437330256/,暂无数据,暂无数据,64.23㎡,暂无数据,暂无数据,暂无数据,2室2厅1厨1卫,103101745028,6,2017-09-21 14:09:01,2017-09-21,暂无数据,未上传房本照片,暂无数据,128.4,未知结构, ,https://jn.lianjia.com/ershoufang/103101745028.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,其他,0,27326,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511058201443/,暂无数据,暂无数据,86㎡,无,板楼,集中供暖,3室1厅1厨1卫,103101745866,5,2017-09-21 14:09:01,2017-09-21,暂无数据,未上传房本照片,暂无数据,235,砖混结构, 二环内,https://jn.lianjia.com/ershoufang/103101745866.html,暂无数据,中楼层,暂无数据
南 北,一梯三户,其他,0,33659,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511057834911/,暂无数据,暂无数据,59.42㎡,无,板楼,集中供暖,2室1厅1厨1卫,103101745240,6,2017-09-21 14:09:08,2017-09-21,暂无数据,未上传房本照片,暂无数据,200,钢混结构, ,https://jn.lianjia.com/ershoufang/103101745240.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,其他,0,22458,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/457425292513680/,暂无数据,暂无数据,55.66㎡,无,板楼,集中供暖,2室1厅1厨1卫,103101744393,6,2017-09-21 14:09:09,2017-09-20,暂无数据,未上传房本照片,暂无数据,125,砖混结构, ,https://jn.lianjia.com/ershoufang/103101744393.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,其他,0,19655,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/457009506963381/,暂无数据,暂无数据,145㎡,暂无数据,板楼,集中供暖,3室2厅1厨1卫,103101742218,11,2017-09-21 14:09:15,2017-09-20,暂无数据,未上传房本照片,暂无数据,285,钢混结构, ,https://jn.lianjia.com/ershoufang/103101742218.html,暂无数据,高楼层,暂无数据
南,一梯六户,其他,0,20000,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511059583588/,暂无数据,暂无数据,115㎡,暂无数据,板楼,集中供暖,3室2厅1厨1卫,103101743084,24,2017-09-21 14:09:15,2017-09-20,暂无数据,未上传房本照片,暂无数据,230,钢混结构, ,https://jn.lianjia.com/ershoufang/103101743084.html,暂无数据,低楼层,暂无数据
南,两梯四户,其他,0,20026,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/459183846477484/,暂无数据,暂无数据,92.38㎡,有,板楼,集中供暖,2室2厅1厨1卫,103101743763,18,2017-09-21 14:09:15,2017-09-20,暂无数据,未上传房本照片,暂无数据,185,钢混结构, ,https://jn.lianjia.com/ershoufang/103101743763.html,暂无数据,中楼层,暂无数据
南,一梯六户,其他,0,18966,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511059583588/,暂无数据,暂无数据,116㎡,暂无数据,板楼,集中供暖,3室2厅1厨1卫,103101745148,24,2017-09-21 14:09:16,2017-09-21,暂无数据,未上传房本照片,暂无数据,220,钢混结构, ,https://jn.lianjia.com/ershoufang/103101745148.html,暂无数据,低楼层,暂无数据
东南,一梯两户,其他,0,38015,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/3911057502952/,共有,暂无数据,92.07㎡,无,板楼,,3室2厅1厨1卫,105101012647,7,2017-09-21 14:09:24,2017-09-20,2010-04-27,已上传房本照片,1㎡,350,钢混结构, ,https://xm.lianjia.com/ershoufang/105101012647.html,满五年,低楼层,暂无数据
南,一梯两户,其他,0,24054,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711059239278/,暂无数据,暂无数据,137.19㎡,无,塔楼,,3室2厅1厨2卫,104100614796,8,2017-09-21 14:09:34,2017-09-20,暂无数据,未上传房本照片,暂无数据,330,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100614796.html,暂无数据,中楼层,暂无数据
南,一梯三户,其他,0,16626,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711927014355019/,暂无数据,暂无数据,95.03㎡,暂无数据,板楼,,2室2厅1厨1卫,104100614304,19,2017-09-21 14:09:38,2017-09-20,暂无数据,未上传房本照片,暂无数据,158,钢混结构, ,https://wh.lianjia.com/ershoufang/104100614304.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,其他,0,16301,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063446422/,暂无数据,暂无数据,113.49㎡,有,板楼,,3室2厅1厨2卫,104100614473,5,2017-09-21 14:09:39,2017-09-20,暂无数据,未上传房本照片,暂无数据,185,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100614473.html,暂无数据,中楼层,暂无数据
南,一梯二十六户,其他,0,17978,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711927014355019/,暂无数据,暂无数据,44.5㎡,暂无数据,塔楼,,2室1厅1厨1卫,104100614313,18,2017-09-21 14:09:39,2017-09-20,暂无数据,未上传房本照片,暂无数据,80,钢混结构, ,https://wh.lianjia.com/ershoufang/104100614313.html,暂无数据,中楼层,暂无数据
南,一梯四户,其他,0,23537,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3712171755401984/,暂无数据,暂无数据,108.34㎡,暂无数据,板楼,,3室2厅1厨1卫,104100614905,46,2017-09-21 14:09:39,2017-09-20,暂无数据,未上传房本照片,暂无数据,255,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100614905.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,其他,0,19396,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056498690/,非共有,暂无数据,96.41㎡,无,板楼,,2室2厅1厨1卫,104100614718,6,2017-09-21 14:09:40,2017-09-20,2016-04-08,已上传房本照片,1㎡,187,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100614718.html,暂无数据,高楼层,暂无数据
南,一梯两户,其他,0,13755,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711057383226/,暂无数据,暂无数据,137.4㎡,无,板楼,,3室2厅1厨2卫,104100615099,6,2017-09-21 14:09:40,2017-09-20,暂无数据,未上传房本照片,暂无数据,189,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100615099.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,其他,0,20000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3714600321903745/,暂无数据,暂无数据,160㎡,暂无数据,暂无数据,,4室2厅1厨2卫,104100615013,6,2017-09-21 14:09:40,2017-09-20,暂无数据,未上传房本照片,暂无数据,320,未知结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615013.html,暂无数据,中楼层,暂无数据
南 北,两梯四户,其他,0,17982,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063283214/,暂无数据,暂无数据,114㎡,有,板楼,,3室1厅1厨2卫,104100615602,33,2017-09-21 14:09:40,2017-09-21,暂无数据,未上传房本照片,暂无数据,205,钢混结构, ,https://wh.lianjia.com/ershoufang/104100615602.html,暂无数据,中楼层,暂无数据
南 北,两梯四户,其他,0,19595,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711057035959/,暂无数据,暂无数据,137.79㎡,有,塔楼,,3室2厅1厨2卫,104100615707,34,2017-09-21 14:09:40,2017-09-21,暂无数据,未上传房本照片,暂无数据,270,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615707.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,简装,0,52054,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/3912584937599229/,共有,无抵押,89.33㎡,暂无数据,板楼,,2室2厅1厨1卫,105101012834,7,2017-09-21 14:09:50,2017-09-20,2000-05-31,已上传房本照片,暂无数据,465,未知结构, ,https://xm.lianjia.com/ershoufang/105101012834.html,满五年,低楼层,暂无数据
南,六梯二十户,简装,0,60116,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/397669835379180/,非共有,有抵押,48.24㎡,有,塔楼,,1室1厅1厨1卫,105101014031,22,2017-09-21 14:09:50,2017-09-20,2002-09-21,已上传房本照片,暂无数据,290,钢混结构, ,https://xm.lianjia.com/ershoufang/105101014031.html,满五年,低楼层,暂无数据
南 北,两梯四户,其他,0,43129,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063335035/,暂无数据,暂无数据,99.7㎡,有,板楼,,2室1厅1厨1卫,104100615188,32,2017-09-21 14:09:56,2017-09-20,暂无数据,未上传房本照片,暂无数据,430,钢混结构, 一环内,https://wh.lianjia.com/ershoufang/104100615188.html,暂无数据,高楼层,暂无数据
南 北,一梯四户,精装,0,21472,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/456943583776087/,共有,有抵押 57万元,97.8㎡,暂无数据,板楼,集中供暖,3室2厅1厨1卫,103101741640,33,2017-09-21 14:10:59,2017-09-20,暂无数据,未上传房本照片,暂无数据,210,钢混结构, 二环外,https://jn.lianjia.com/ershoufang/103101741640.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,简装,0,18929,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511059477697/,非共有,有抵押 44万元 银行 业主自还,84㎡,暂无数据,板楼,集中供暖,2室2厅1厨1卫,103101744253,6,2017-09-21 14:10:59,2017-09-20,暂无数据,未上传房本照片,暂无数据,159,钢混结构, 二环内,https://jn.lianjia.com/ershoufang/103101744253.html,暂无数据,中楼层,暂无数据
