orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南,一梯三户,其他,0,14474,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/457098694381865/,暂无数据,暂无数据,76㎡,无,板楼,自供暖,2室2厅1厨1卫,103101754852,7,2017-09-24 21:58:03,2017-09-23,暂无数据,未上传房本照片,暂无数据,110,砖混结构, ,https://jn.lianjia.com/ershoufang/103101754852.html,暂无数据,高楼层,暂无数据
北,六梯十五户,其他,0,14476,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/378230618541890/,暂无数据,暂无数据,229.35㎡,有,塔楼,,5室2厅0厨2卫,104100621628,25,2017-09-24 21:58:19,2017-09-24,暂无数据,未上传房本照片,暂无数据,332,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100621628.html,暂无数据,中楼层,暂无数据
北,两梯八户,其他,0,33561,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/456945339355293/,暂无数据,暂无数据,89.39㎡,有,塔楼,集中供暖,2室2厅1厨1卫,103101751355,26,2017-09-24 21:58:27,2017-09-22,暂无数据,未上传房本照片,暂无数据,300,钢混结构, ,https://jn.lianjia.com/ershoufang/103101751355.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,精装,0,15348,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511059991664/,共有,有抵押,84.7㎡,暂无数据,板楼,集中供暖,2室2厅1厨1卫,103101748747,7,2017-09-24 21:59:23,2017-09-22,暂无数据,未上传房本照片,暂无数据,130,钢混结构, 二环内,https://jn.lianjia.com/ershoufang/103101748747.html,暂无数据,高楼层,暂无数据
南,两梯八户,其他,0,37561,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/456945339355293/,暂无数据,暂无数据,82㎡,有,塔楼,集中供暖,2室2厅1厨1卫,103101755954,26,2017-09-24 21:59:38,2017-09-24,暂无数据,未上传房本照片,暂无数据,308,钢混结构, ,https://jn.lianjia.com/ershoufang/103101755954.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,其他,0,35000,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511100915829/,暂无数据,暂无数据,156㎡,无,板楼,集中供暖,3室2厅1厨2卫,103101755028,4,2017-09-24 21:59:38,2017-09-23,暂无数据,未上传房本照片,暂无数据,546,砖混结构, ,https://jn.lianjia.com/ershoufang/103101755028.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,精装,0,23164,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711060817741/,非共有,无抵押,133.83㎡,无,板楼,,3室2厅1厨2卫,104100620140,8,2017-09-24 21:59:40,2017-09-23,暂无数据,未上传房本照片,暂无数据,310,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100620140.html,暂无数据,中楼层,暂无数据
南,两梯四户,其他,0,22778,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056913741/,暂无数据,暂无数据,90㎡,有,板楼,,3室2厅1厨1卫,104100621892,18,2017-09-24 21:59:49,2017-09-24,暂无数据,未上传房本照片,暂无数据,205,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100621892.html,暂无数据,低楼层,暂无数据
南,两梯六户,其他,0,23191,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056496921/,共有,暂无数据,75.46㎡,有,板楼,,2室1厅1厨1卫,104100617378,32,2017-09-24 21:59:53,2017-09-22,2016-09-07,已上传房本照片,55.49㎡,175,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100617378.html,暂无数据,中楼层,暂无数据
南 北,一梯四户,其他,0,15537,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056672595/,共有,暂无数据,121㎡,无,板楼,,3室2厅1厨2卫,104100618042,7,2017-09-24 21:59:53,2017-09-22,2008-07-14,已上传房本照片,104㎡,188,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618042.html,满五年,低楼层,平层
西南,一梯六十七户,其他,0,14000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3716544985787569/,暂无数据,暂无数据,33㎡,暂无数据,板楼,,1室0厅0厨0卫,104100618083,5,2017-09-24 21:59:54,2017-09-22,暂无数据,未上传房本照片,暂无数据,46.2,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618083.html,暂无数据,高楼层,暂无数据
南 北,两梯两户,其他,0,20958,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056677503/,暂无数据,暂无数据,167㎡,有,板楼,,4室2厅1厨2卫,104100619514,18,2017-09-24 21:59:55,2017-09-23,暂无数据,未上传房本照片,暂无数据,350,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100619514.html,暂无数据,低楼层,暂无数据
南 北,两梯四户,其他,0,26020,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/378872888905061/,暂无数据,暂无数据,98㎡,有,塔楼,,3室2厅1厨1卫,104100619628,33,2017-09-24 21:59:56,2017-09-23,暂无数据,未上传房本照片,暂无数据,255,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100619628.html,暂无数据,低楼层,暂无数据
南,一梯两户,其他,0,17886,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056666643/,暂无数据,暂无数据,123㎡,无,板楼,,3室2厅1厨2卫,104100619714,6,2017-09-24 21:59:56,2017-09-23,暂无数据,未上传房本照片,暂无数据,220,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100619714.html,暂无数据,中楼层,暂无数据
南,一梯三户,其他,0,25117,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056918299/,非共有,暂无数据,85.6㎡,有,板楼,,2室2厅1厨1卫,104100618156,11,2017-09-24 21:59:56,2017-09-22,2016-04-29,已上传房本照片,11.19㎡,215,钢混结构, ,https://wh.lianjia.com/ershoufang/104100618156.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,其他,0,16838,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056668080/,暂无数据,暂无数据,190.05㎡,无,板楼,,4室2厅1厨3卫,104100620273,6,2017-09-24 21:59:57,2017-09-23,暂无数据,未上传房本照片,暂无数据,320,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620273.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,简装,0,18812,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056506378/,非共有,无抵押,101㎡,无,板楼,,3室2厅1厨1卫,104100620452,6,2017-09-24 22:00:02,2017-09-24,暂无数据,未上传房本照片,暂无数据,190,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620452.html,暂无数据,低楼层,暂无数据
南 北,两梯四户,其他,0,22018,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056679539/,暂无数据,暂无数据,109㎡,有,板楼,,3室2厅1厨2卫,104100620089,32,2017-09-24 22:00:04,2017-09-23,暂无数据,未上传房本照片,暂无数据,240,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620089.html,暂无数据,低楼层,暂无数据
南,一梯六户,其他,0,27174,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711099882427/,暂无数据,暂无数据,46㎡,暂无数据,板楼,,2室1厅1厨1卫,104100620950,32,2017-09-24 22:00:04,2017-09-24,暂无数据,未上传房本照片,暂无数据,125,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620950.html,暂无数据,低楼层,暂无数据
南,一梯十九户,其他,0,16981,商住两用,商品房,https://wh.lianjia.com/xiaoqu/3711063197256/,暂无数据,暂无数据,53㎡,暂无数据,塔楼,,2室2厅2厨2卫,104100620881,29,2017-09-24 22:00:04,2017-09-24,暂无数据,未上传房本照片,暂无数据,90,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620881.html,暂无数据,高楼层,平层
南,五梯二十户,其他,0,18421,商住两用,商品房,https://wh.lianjia.com/xiaoqu/3711063198374/,暂无数据,暂无数据,38㎡,有,板楼,,2室2厅1厨1卫,104100621027,17,2017-09-24 22:00:04,2017-09-24,暂无数据,未上传房本照片,暂无数据,70,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100621027.html,暂无数据,中楼层,复式
南 北,一梯六户,其他,0,32174,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711099882427/,暂无数据,暂无数据,46㎡,暂无数据,板楼,,2室1厅1厨1卫,104100621100,32,2017-09-24 22:00:06,2017-09-24,暂无数据,未上传房本照片,暂无数据,148,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100621100.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,其他,0,19712,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/458600565067730/,暂无数据,暂无数据,65.95㎡,暂无数据,板楼,集中供暖,2室1厅1厨1卫,103101751653,6,2017-09-24 22:00:07,2017-09-23,暂无数据,未上传房本照片,暂无数据,130,砖混结构, ,https://jn.lianjia.com/ershoufang/103101751653.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,其他,0,33333,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511058199536/,非共有,无抵押,105㎡,无,板楼,集中供暖,3室2厅1厨1卫,103101749652,6,2017-09-24 22:00:09,2017-09-22,暂无数据,未上传房本照片,暂无数据,350,钢混结构, 二环内,https://jn.lianjia.com/ershoufang/103101749652.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,简装,0,30437,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511058174490/,非共有,无抵押,114.99㎡,无,板楼,集中供暖,3室2厅1厨2卫,103101753914,7,2017-09-24 22:00:10,2017-09-23,2017-09-23,已上传房本照片,105.71㎡,350,砖混结构, ,https://jn.lianjia.com/ershoufang/103101753914.html,暂无数据,中楼层,暂无数据
南,一梯三户,简装,0,27358,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/457122466124460/,非共有,无抵押,53㎡,无,板楼,集中供暖,2室1厅1厨1卫,103101752478,6,2017-09-24 22:00:10,2017-09-23,暂无数据,未上传房本照片,暂无数据,145,砖混结构, ,https://jn.lianjia.com/ershoufang/103101752478.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,简装,0,28188,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/457122466124460/,非共有,无抵押,82.66㎡,无,板楼,集中供暖,3室1厅1厨1卫,103101757740,6,2017-09-24 22:00:10,2017-09-24,暂无数据,未上传房本照片,暂无数据,233,砖混结构, ,https://jn.lianjia.com/ershoufang/103101757740.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,精装,0,18750,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/458600565067730/,非共有,无抵押,80㎡,暂无数据,板楼,集中供暖,2室1厅1厨1卫,103101757093,4,2017-09-24 22:00:10,2017-09-24,暂无数据,未上传房本照片,暂无数据,150,砖混结构, ,https://jn.lianjia.com/ershoufang/103101757093.html,暂无数据,中楼层,暂无数据
南,一梯四户,简装,0,25126,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/458144463868552/,非共有,无抵押,43.78㎡,无,板楼,集中供暖,2室0厅1厨1卫,103101751157,4,2017-09-24 22:00:10,2017-09-22,2009-08-04,已上传房本照片,暂无数据,110,砖混结构, ,https://jn.lianjia.com/ershoufang/103101751157.html,满五年,中楼层,暂无数据
南,一梯三户,简装,0,31034,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511058199536/,非共有,无抵押,58㎡,无,板楼,集中供暖,2室1厅1厨1卫,103101758197,6,2017-09-24 22:00:11,2017-09-24,暂无数据,未上传房本照片,暂无数据,180,砖混结构, 二环内,https://jn.lianjia.com/ershoufang/103101758197.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,其他,0,19821,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/458600565067730/,暂无数据,暂无数据,77.19㎡,暂无数据,板楼,集中供暖,2室1厅1厨1卫,103101758233,5,2017-09-24 22:00:11,2017-09-24,暂无数据,未上传房本照片,暂无数据,153,砖混结构, ,https://jn.lianjia.com/ershoufang/103101758233.html,暂无数据,中楼层,暂无数据
南 北,一梯三户,其他,0,24405,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/458600565067730/,暂无数据,暂无数据,84㎡,暂无数据,板楼,集中供暖,2室2厅1厨1卫,103101758391,6,2017-09-24 22:00:12,2017-09-24,暂无数据,未上传房本照片,暂无数据,205,砖混结构, ,https://jn.lianjia.com/ershoufang/103101758391.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,其他,0,27254,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511058201443/,暂无数据,暂无数据,67.88㎡,无,板楼,集中供暖,2室1厅1厨1卫,103101758575,6,2017-09-24 22:00:12,2017-09-24,暂无数据,未上传房本照片,暂无数据,185,砖混结构, 二环内,https://jn.lianjia.com/ershoufang/103101758575.html,暂无数据,高楼层,暂无数据
南,两梯四户,其他,0,21495,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063181024/,暂无数据,暂无数据,107㎡,有,板塔结合,,2室2厅1厨2卫,104100618420,38,2017-09-24 22:00:14,2017-09-22,暂无数据,未上传房本照片,暂无数据,230,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618420.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,精装,0,16854,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056674054/,共有,无抵押,178㎡,无,板楼,,3室2厅1厨2卫,104100621128,6,2017-09-24 22:00:15,2017-09-24,暂无数据,未上传房本照片,暂无数据,300,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100621128.html,暂无数据,高楼层,暂无数据
